-121.82,23.06,0.65
-122.07,20.71,-0.62
-122.32,18.26,-2.90
-121.63,15.76,-3.82
-120.39,13.09,-3.30
-119.33,10.37,-3.40
-118.66,7.15,-4.06
-118.29,3.99,-4.82
-117.56,1.85,-4.94
-116.65,-0.58,-3.97
-115.64,-3.64,-3.03
-114.91,-7.15,-3.19
-114.96,-9.15,-4.14
-114.78,-11.35,-3.11
-114.21,-14.14,-2.33
-113.79,-18.42,-2.35
-113.59,-22.08,-2.01
-113.25,-25.26,-1.22
-113.00,-27.81,0.04
-112.47,-30.86,0.68
-112.59,-33.56,1.34
-112.86,-35.26,2.41
-112.87,-36.92,2.80
-113.20,-38.32,3.37
-113.60,-38.96,4.31
-113.87,-39.24,4.84
-114.03,-39.87,4.91
-114.22,-40.39,5.22
-114.46,-39.54,6.15
-114.25,-38.76,5.95
-114.08,-38.76,4.95
-114.31,-38.75,5.27
-114.11,-36.49,5.55
-114.07,-34.02,5.47
-114.46,-32.06,4.86
-115.60,-30.93,5.26
-116.59,-27.70,6.95
-116.01,-24.07,7.39
-115.69,-21.72,6.85
-116.06,-20.58,5.98
-116.32,-19.89,6.03
-115.75,-17.29,6.35
-115.16,-13.84,6.71
-115.31,-10.84,6.77
-115.41,-7.38,7.00
-115.65,-2.97,7.14
-116.16,1.70,6.80
-116.83,5.73,6.50
-117.46,11.05,6.53
-117.55,15.37,6.90
-118.07,19.32,6.86
-118.67,23.00,6.61
-119.01,27.07,6.94
-119.10,29.99,7.32
-119.01,32.48,7.92
-118.46,35.99,8.98
-118.36,39.63,9.61
-118.52,41.73,9.55
-118.17,43.29,10.30
-117.36,46.05,11.63
-116.34,50.01,13.13
-115.56,52.07,14.00
-115.29,53.08,14.15
-114.46,55.61,15.13
-113.83,58.01,16.12
-113.85,59.41,16.35
-113.45,60.37,16.93
-113.08,61.59,17.42
-112.80,61.77,17.52
-112.89,60.83,16.73
-112.73,60.07,16.51
-112.27,59.09,16.70
-113.13,57.57,15.07
-114.23,55.74,12.87
-113.75,54.44,12.85
-113.44,52.66,12.88
-114.09,50.04,11.39
-115.03,47.43,9.45
-114.85,44.96,9.24
-114.83,41.97,8.82
-115.37,39.54,7.57
-115.84,37.89,7.16
-116.24,34.15,6.33
-117.18,30.03,4.62
-117.77,26.70,3.42
-116.90,24.97,5.00
-116.59,21.45,5.65
-116.63,17.25,5.61
-116.47,13.57,5.77
-116.36,10.96,6.20
-116.52,7.94,6.36
-116.52,4.87,6.64
-116.68,1.97,6.69
-117.40,-0.77,5.88
-118.60,-3.65,4.94
-119.21,-6.78,6.52
-118.69,-10.56,8.92
-118.45,-14.79,8.87
-118.68,-19.26,8.72
-118.66,-21.79,9.82
-118.30,-24.57,11.52
-117.99,-28.19,11.43
-118.52,-31.90,11.45
-119.02,-34.37,12.14
-119.14,-36.51,12.68
-119.21,-39.54,11.59
-119.49,-41.48,11.52
-119.59,-42.81,12.54
-119.25,-43.79,12.68
-118.57,-45.65,11.37
-118.46,-45.89,11.12
-118.08,-45.15,11.09
-117.81,-45.05,9.74
-118.09,-45.42,8.85
-118.42,-44.96,9.47
-118.35,-43.98,8.96
-118.07,-42.85,7.35
-118.44,-41.74,7.21
-118.74,-41.62,7.90
-118.69,-40.67,8.20
-118.39,-38.26,7.83
